Breed,Trait,Trait_Score
Retrievers (Labrador),Size,3
French Bulldogs,Size,2
German Shepherd Dogs,Size,4
Retrievers (Golden),Size,3
Bulldogs,Size,3
Poodles,Size,3
Beagles,Size,2
Rottweilers,Size,4
Pointers (German 1haired),Size,3
Dachshunds,Size,2
Pembroke Welsh Corgis,Size,3
Australian Shepherds,Size,3
Yorkshire Terriers,Size,1
Boxers,Size,4
Great Danes,Size,5
Siberian Huskies,Size,4
Cavalier King Charles Spaniels,Size,3
Doberman Pinschers,Size,4
Miniature Schnauzers,Size,2
Shih Tzu,Size,2
Boston Terriers,Size,2
Bernese Mountain Dogs,Size,5
Pomeranians,Size,1
Havanese,Size,2
Cane Corso,Size,3
Spaniels (English Springer),Size,3
Shetland Sheepdogs,Size,3
Brittanys,Size,3
Pugs,Size,2
Spaniels (Cocker),Size,3
Miniature American Shepherds,Size,3
Border Collies,Size,3
Mastiffs,Size,5
Chihuahuas,Size,1
Vizslas,Size,3
Basset Hounds,Size,3
Belgian Malinois,Size,4
Maltese,Size,1
Weimaraners,Size,4
Collies,Size,4
Newfoundlands,Size,5
Rhodesian Ridgebacks,Size,4
Shiba Inu,Size,3
West Highland White Terriers,Size,2
Bichons Frises,Size,3
Bloodhounds,Size,5
Spaniels (English Cocker),Size,3
Akitas,Size,4
Portuguese Water Dogs,Size,3
Retrievers (Chesapeake Bay),Size,3
Dalmatians,Size,3
St. Bernards,Size,3
Papillons,Size,1
Australian Cattle Dogs,Size,4
Bullmastiffs,Size,4
Samoyeds,Size,4
Scottish Terriers,Size,2
Soft Coated Wheaten Terriers,Size,3
Whippets,Size,3
Pointers (German Wirehaired),Size,3
Chinese Shar-Pei,Size,2
Airedale Terriers,Size,3
Wirehaired Pointing Griffons,Size,3
Bull Terriers,Size,3
Alaskan Malamutes,Size,5
Cardigan Welsh Corgis,Size,3
Giant Schnauzers,Size,3
Old English Sheepdogs,Size,3
Italian Greyhounds,Size,1
Great Pyrenees,Size,5
Dogues de Bordeaux,Size,3
Russell Terriers,Size,3
Cairn Terriers,Size,2
Irish Wolfhounds,Size,5
Setters (Irish),Size,3
Greater Swiss Mountain Dogs,Size,4
Miniature Pinschers,Size,1
Lhasa Apsos,Size,2
Chinese Crested,Size,1
Coton de Tulear,Size,1
Staffordshire Bull Terriers,Size,3
American Staffordshire Terriers,Size,3
Rat Terriers,Size,2
Chow Chows,Size,4
Anatolian Shepherd Dogs,Size,5
Basenjis,Size,3
Spaniels (Boykin),Size,3
Lagotti Romagnoli,Size,3
Brussels Griffons,Size,1
Retrievers (Nova Scotia Duck Tolling),Size,3
Norwegian Elkhounds,Size,3
Standard Schnauzers,Size,3
Dogo Argentinos,Size,3
Bouviers des Flandres,Size,3
Pekingese,Size,1
Keeshonden,Size,3
Border Terriers,Size,2
Leonbergers,Size,5
Tibetan Terriers,Size,3
Neapolitan Mastiffs,Size,5
Setters (English),Size,3
Retrievers (Flat-Coated),Size,3
Borzois,Size,3
Fox Terriers (Wire),Size,3
Miniature Bull Terriers,Size,3
Belgian Tervuren,Size,3
Setters (Gordon),Size,3
Silky Terriers,Size,2
Norwich Terriers,Size,2
Spinoni Italiani,Size,3
Japanese Chin,Size,1
Welsh Terriers,Size,3
Toy Fox Terriers,Size,1
Schipperkes,Size,3
Parson Russell Terriers,Size,3
Pointers,Size,4
Belgian Sheepdogs,Size,3
Tibetan Spaniels,Size,2
American Eskimo Dogs,Size,3
Irish Terriers,Size,3
Beaucerons,Size,3
Afghan Hounds,Size,3
Boerboels,Size,5
Fox Terriers (Smooth),Size,3
Bearded Collies,Size,4
Black Russian Terriers,Size,5
Black and Tan Coonhounds,Size,4
Spaniels (Welsh Springer),Size,3
American Hairless Terriers,Size,3
Norfolk Terriers,Size,2
Xoloitzcuintli,Size,3
Manchester Terriers,Size,3
Kerry Blue Terriers,Size,3
Australian Terriers,Size,3
Spaniels (Clumber),Size,3
Lakeland Terriers,Size,3
Bluetick Coonhounds,Size,3
English Toy Spaniels,Size,3
German Pinschers,Size,3
Tibetan Mastiffs,Size,5
Bedlington Terriers,Size,2
Greyhounds,Size,4
Pulik,Size,3
Salukis,Size,4
Barbets,Size,4
Redbone Coonhounds,Size,4
Swedish Vallhunds,Size,3
Sealyham Terriers,Size,1
Spanish Water Dogs,Size,3
Briards,Size,5
Berger Picards,Size,3
Entlebucher Mountain Dogs,Size,5
Treeing Walker Coonhounds,Size,4
Icelandic Sheepdogs,Size,3
Wirehaired Vizslas,Size,4
Pumik,Size,3
Portuguese Podengo Pequenos,Size,1
Spaniels (American Water),Size,3
Retrievers (Curly-Coated),Size,4
Spaniels (Field),Size,3
Lowchen,Size,1
Nederlandse Kooikerhondjes,Size,2
Affenpinschers,Size,1
Petits Bassets Griffons Vendeens,Size,3
Finnish Lapphunds,Size,3
Scottish Deerhounds,Size,5
Plott Hounds,Size,5
Norwegian Buhunds,Size,3
Glen of Imaal Terriers,Size,2
